Year,G ,ARI,ATL,BLA,BAL,BOS,CHC,CHW,CIN,CLE,COL,DET,HOU,KCR,ANA,LAD,FLA,MIL,MIN,NYM,NYY,OAK,PHI,PIT,SDP,SFG,SEA,STL,TBD,TEX,TOR,WSN
2015,156,75,62,,76,75,90,73,63,77,66,72,82,90,81,87,69,66,80,89,86,65,59,95,73,81,74,98,75,84,90,79
2014,162,64,79,,96,71,73,73,76,85,66,90,70,89,98,94,77,82,70,79,84,88,73,88,77,88,87,90,77,67,83,96
